Series name,Category,Short description,Description,Featured image,Feature set header 1,Feature set description 1,Feature set image 1,Feature set header 2,Feature set description 2,Feature set image 2,Feature set header 3,Feature set description 3,Feature set image 3,Feature set header 4,Feature set description 4,Feature set image 4,Video 1 name,Video 1,Video 2 name,Video 2,Video 3 name,Video 3,Video 4 name,Video 4,Internal document 1 description,Internal document 1
F3SG-RA,Safety Light Curtain,,"Torsion-resistant for fast and simple alignment
Smart-click cable connection for fast set-up and correct torque to ensure IP67
QR code indication for easy online troubleshooting
PNP/NPN output selection by DIP switch
Cascading connection up to 3 segments and up to 255 beams
Built in blanking, muting and reset functions",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/24212f430c85feec06bfa13a7adb8571ef64df3943561ab4bf183cf8ea524d29.jpg,,,,,,,,,,,,,,,,,,,,,,
F3SG-RE,Safety Light Curtain,,"Torsion-resistant for fast and simple alignment
Smart-click cable connection for fast set-up and correct torque to ensure IP67
QR code indication for easy online troubleshooting",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/7981c79cb7ec919e46204242c192f6c9301638a67c35649382ff4e65fc6914fd.jpg,,,,,,,,,,,,,,,,,,,,,,
F3S-TGR-CL,Safety Light Curtain,,"Family concept in wiring and mounting for total consistency in every application 
No need for external devices by integrated safety control functions selectable via built-in dip-switches
All models with external device monitoring, interlock function, range setting (short and long range) and optical or wired coding selection
Advanced models include pre-reset, muting and blanking function and cyclic operation
Muting lamp integrated for advanced models
Type 2 according to EN61496-1 and PL c according to EN ISO 13849-1
Type 4 according to EN61496-1 and PL e according to EN ISO 13849-1",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/adee911f6afab7f4fc210ddf0a38570f1862f77d029fb7de8c587d25baa2f482.jpg,,,,,,,,,,,,,,,,,,,,,,
F3SJ,Safety Light Curtain,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/bc801dc05c9d0220b76983e590aa193ac3037035aeaa7049d7b42cd8d73c1c27.png,,,,,,,,,,,,,,,,,,,,,,
Safety light curtain accessories,Safety Light Curtain,,,,,,,,,,,,,,,,,,,,,,,,,
F3SG-SR/PG,Safety Light Curtain,,"Broadest product line-up to increase design flexibility and standardization by: 
- Simplifying product selection and machine design with the same compact profile for either application 
- Providing a wide range of protective heights to completely fit the protected area required
Long operating range and stable detection thanks to unique high-power optical design: It enables reliable sensing even in harsh environment and multiple light beam re-direction by mirrors for perimeter guarding applications
Environmental resistance and rugged structure including oil resistance (IP67G) in all series and optional high-pressure wash-down models (IP69K)
Quick installation: Area Beam Indicator (ABI) facilitates the fine adjustment of beams for long-distance alignment
Easy diagnostics: Operating Status indicators help to determine the optimal replacement timing and possible errors
Protection without dead space*1 in both sides it detects an operator’s hand anywhere on the safety area even with series-connected or U-shape connected
Plug and work for quick replacement thanks to the copy and restore settings function of the intelligent tap that includes easy on-site monitoring via Bluetooth®
Remote monitoring and operating data collection to prevent unplanned stoppages through intelligent tap by means of IO-Link communication (Ready for IoT)
*1. Only for hand protection models (Detection capability 25mm dia",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/7957f2b6d4dcfd331f821499f1a5f487d7435fa903e5742c94ed341f4c266356.png,,,,,,,,,,,,,,,,,,,,,,
F3W-MA,Muting Actuators,,"Point-to-point detection mode for workpieces with constant shape
Chattering/void space prevention mode to prevent impact of small object holes",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/7cb93770d0d6b3cf9dd5ab866732c7913856b908859b7790f91921e790c834b9.jpg,,,,,,,,,,,,,,,,,,,,,,
G9SE,Safety relay units,,"Simple front side wiring using screw-less terminals.
17.5 or 22.5 mm width to save mounting space
15ms Max. response time
Safe OFF delay function up to PLe
Certification for lift standards EN 81-1, EN 81-2
Up to Ple according to EN ISO 13849-1 and SIL 3 according to EN 61508",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/3efca40e18a528084737ad6635c0d369a8757f308ceac6d203a59cbd936d1f50.jpg,,,,,,,,,,,,,,,,,,,,,,
G9SA,Safety relay units,,"45mm-wide housing, expansion units are 17.5mm wide
Safe OFF-delay timer
Simple expansion connection
Certification up to PLe according to EN ISO 13849-1 depending on the application",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/8f0863103a65a3507ba39f0f5559024e56032d321e580bddda28b4a154e8a545.jpg,,,,,,,,,,,,,,,,,,,,,,
G9SB,Safety relay units,,"17.5mm- and 22.5mm-wide housing
1- and 2-input channel units
Manual and automatic reset units
Certification up to PLe according to EN ISO 13849-1 depending on the application",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/ce8209161caed51ea8216b58621b4f880828cb00dc692b82ae5b574eb154c4b1.jpg,,,,,,,,,,,,,,,,,,,,,,
G9SR,Safety relay units,,"Three modules for all safety relay unit applications
Solid-state outputs for long life and high current safety relay outputs
Detailed LED indications enable easy diagnosis
Safe on- and off-delay function up to PLe
Up to PLe according to EN ISO 13949-1 and SIL 3 according to EN 61508",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/2f5d807e31ab765091863007ee9a3fd97e432de9d1abc18c3daad59889eba8f8.jpg,,,,,,,,,,,,,,,,,,,,,,
G9SX,Safety relay units,,"Facilitates partial or complete control system setup
Clear LED diagnosis of all in- and output signals for easy maintenance
Easy integration
Solid-state outputs (excluding Expansion Units)
Approved by UL and CSA and EN ISO 13849-1 certified",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/f256b9d558a88866616eaabb1ee5fdda933aaaaf5f46159f05b01efabf97c77c.jpg,,,,,,,,,,,,,,,,,,,,,,
G9SP-N_,Programmable safety controllers,,"Three CPU-types to suit different applications
Clear diagnosis and monitoring via Ethernet or Serial connection
Memory cassette for easy duplication of configuration
Unique programming software to support easy design, verification, standardization and reusage of the program
Certified according to PLe (EN ISO 13849-1) and SIL 3 (IEC 61508)",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/247a33cf06559bb35b7b9d2bf6dde87eeb622f6281c3bd03bc0fc2cc77db6e90.jpg,,,,,,,,,,,,,,,,,,,,,,
NE1A-SCPU_,Programmable safety controllers,,"Removable cage-clamp terminals for easy installation
Predefined and certified function blocks for easy programming
LED display and status LEDs for advanced diagnostics
System status on DeviceNet for easy troubleshooting and predictive maintenance
Easy scalability through the addition of DeviceNet safety devices",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/9ae5ac8118c9ada354fa3f19b3e2c49d950affb47f90e89662a4cdde2f1c9925.jpg,,,,,,,,,,,,,,,,,,,,,,
DST-ID,Programmable safety controllers,,"Removable cage-clamp terminals for easy installation
12 inputs for safety signals
4 test pulse outputs to ensure crosstalk and short-circuit detection
Status LEDs for advanced diagnostics
Mixed-mode operation (safety and standard) for all inputs",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/de2a98b07d4bde58632b94b57445cb6cebea10301bee41d291b981764b05b1ab.jpg,,,,,,,,,,,,,,,,,,,,,,
DST-MD,Programmable safety controllers,,"Removable cage-clamp terminals for easy installation
8 inputs for safety signals
4 test pulse outputs to ensure crosstalk and short-circuit detection
8 solid-state outputs
Status LEDs for advanced diagnostics",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/74cda4c040cef0f07dc4f6ca593aa408fbee973ca1656487c26d98d823558153.jpg,,,,,,,,,,,,,,,,,,,,,,
DST-MRD,Programmable safety controllers,,"Removable cage-clamp terminals for easy installation
4 inputs for safety signals
4 test pulse outputs to ensure crosstalk and short-circuit detection
4 relay outputs
Status LEDs for advanced diagnostics",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/e88622069f47cf52e298d36113cc9f06c5f08267ca24099b711e093742158a30.jpg,,,,,,,,,,,,,,,,,,,,,,
G7SA,Safety Relays,,"Forcibly guided contacts
Conforms to EN 50205
6 A at 240 VAC and 6A at 24 VDC for resistive loads
Reinforced insulation between inputs, outputs and poles
4- and 6-pole relays available
Sockets available with Push-In technology",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/393b3faf4a1a17912143dcc57f2aa8820b1e0cd8595811faeb676444fd15a43e.jpg,,,,,,,,,,,,,,,,,,,,,,
G7S,Safety Relays,,"Forcibly guided contacts
Conforms to EN 50205
NO contacts: 10 A at 250 VAC and 10 A at 30 VDC, NC contacts: 6 A at 250 VAC and 6 A at 30 VDC (for resistive loads)
Reinforced insulation between inputs and outputs and poles
4- and 6-pole relays available",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/a91c6ee7b9e7eb6b3bfb139ec3f63a5f1fc00c1ebf0579b68232ccb989d9fc37.jpg,,,,,,,,,,,,,,,,,,,,,,
K8AK-TH,Basic temperature controllers,,"Simple function settings using DIP switch
Selectable alarm latch and SV setting protection
Multi-input support for thermocouple or Pt100 and Pt1000 sensor input
Changeover relay: fail-safe selectable
Alarm status identification with LED",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/d1db24afe0dfba4115f4185ca3ba2c7360e9c2584bea31076b1ea4878d91c3f6.jpg,,,,,,,,,,,,,,,,,,,,,,
E5C2,Basic temperature controllers,,"Compact, cost-effective controller
Control mode: ON/OFF or P
Control output: relay
Power supply: 100-120 / 200-240VAC
Thermocouple K: 0 to 1200°C, L: 0 to 400°C, Pt100: -50 to 200°C",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/d77f7259cbb69ea2956b49b8c596dfb06e752e26ef8de1eaf33fc23267c7d369.jpg,,,,,,,,,,,,,,,,,,,,,,
E5L,Basic temperature controllers,,"Available in 4 application specific ranges
Sensor provided to enable immediate usage
High capacity output of 10A at 250VAC for direct load switching
Simple operation and setting. Even simpler with digital models",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/f0bda5e5fbd7bf5a27580ebc57199bf8c17ebb1c5622c5eb322885c865327c67.jpg,,,,,,,,,,,,,,,,,,,,,,
E5CSV,Basic temperature controllers,,"All setting field configurable with switches
Multi-input (Thermocouple/Pt100) 
Clearly visible 3.5-digit display with character height of 13.5mm
Control output: relay, voltage (for driving SSR)
ON/OFF or 2-PID control with auto-tuning and self-tuning",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/78d6b1875eba6449e16d9ffda805c036a7f83ce7fd3da595dde71d2c22998528.jpg,,,,,,,,,,,,,,,,,,,,,,
E5CB,Basic temperature controllers,,"Precise control using our unique 2-PID system 
 Easy to read from a distance via large 16.2 mm PV display 
 Low unit depth (only 60 mm)",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/409825671e721b3fcec0091353c80b26701d4f4df63b092b4befec57af868a78.jpg,,,,,,,,,,,,,,,,,,,,,,
E52-E,Temperature Probes,,"Thermocouples and PT100 elements
Wide range of housing, mounting and connection options
Best performance match with temperature controllers from the E5_ portfolio",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/e787edf2349261be9431e54c6fa5412d527536a3845df803eb2d5e1ee91649ad.jpg,,,,,,,,,,,,,,,,,,,,,,
ES1B,Auxiliaries,,"Cost-effective infrared thermosensor
Contactless, meaning no deterioration, unlike thermocouples
4 temperature ranges available: 10-70°C, 60-120°C, 115-165°C and 140-260°C
Response speed 300 ms",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/dd1d08cd3878094621ebfcd28634222c031cce1ea053b041e6922980dd3dc499.jpg,,,,,,,,,,,,,,,,,,,,,,
ES1C,Auxiliaries,,"Flexible placement with slim cylindrical shape and long focus with a distance of 500 mm and area diameter of 80 mm.
The SUS body and silicon lens resist ambient operating temperatures of up to 70°C and resist dust and water to the equivalent of IP67.
Fast measurement with high-speed response of 100 ms/90%.
Strong resistance to noise with output of 4 to 20 mA.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/95007bea870a911056806ea1033ed6ab06c9eb66b842e56fc925f1fd6d38e1d2.jpg,,,,,,,,,,,,,,,,,,,,,,
EJ1N-HFU-ETN,Auxiliaries,,"Connects Modbus serial slaves to PROFINET and Modbus/TCP.
Built for integration into the CelciuX° (EJ1).
Usable as a gateway for discrete units like E5_N-series temperature controllers and MX2 inverters.
Flexible implementation with standard .gsd file.
Ethernet/IP gateway just for EJ1N-TC2 cards: up to 24 EJ1N-TC2 connectable (48 loops in total).",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/7d1d609b69a99809144a46f44829795289292e01c8dc4a31fb7d25de844d9057.jpg,,,,,,,,,,,,,,,,,,,,,,
E5_C,General purpose temperature controllers,,"Fast and precise regulation: 50 ms sampling loop period time
Easy to set up, and operate intuitively via CX-Thermo without power supply
Best contrast display using white LCD technology which is visible from a far distance and from any angle
Useful alarm and diagnosis functions for secure operation
Practical timer and logic operation functions eliminating the need of a PLC
Additional models with different features are available. Please check related product catalogue.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/6a8fc61ea01608534cda4c5f36eb6d03a0ed3cb7178a41708b829f9c461f01d1.jpg,,,,,,,,,,,,,,,,,,,,,,
E5_D,General purpose temperature controllers,,"Adaptive control for self optimization of control setting due to process changes
Specialized function for better sealing application (packaging) and for watercooled extruders (plastic)
Draw-out structure for easier maintenance operation
Same basic specification of E5_C series",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/4f9dd82bec6e92644f5520d9293e7682f350c0ba0a7781061fec0521f3444b15.jpg,,,,,,,,,,,,,,,,,,,,,,
E5_C-T,Advanced and multi-loop controllers,,"Set up to 8 programs  with 32 segments totaling 256 program segments simply via CX-Thermo software.
The three-level display is visible simultaneously so each process status can be easily identified.
""Segment Jump"" allows users to move directly to the specified segment reducing programming time and increase production throughput.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/4e359917df00d07109bca783558c5b11f22c565bb8325aa077201f88c91ba1c8.jpg,,,,,,,,,,,,,,,,,,,,,,
E5_N-H / E5_N-HT,Advanced and multi-loop controllers,,"Same Menu structure as E5_N
Fast (60ms) and Accurate (0,1%PV)
Universal inputs & modular outputs
Setpoint profile programmers (8x32 segments)
Valve Control",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/1acb05aed86c61631dcf18e4d086e4fdb6253e9fa55b570ce4dc2d8b7bfc9598.jpg,,,,,,,,,,,,,,,,,,,,,,
E5_R / E5_R-T,Advanced and multi-loop controllers,,"Easy and clear read-out thanks to bright liquid Crystal Display
Exceptional versatility - multi-loop control, cascade control, and valve control
Easy integration with DeviceNet, Profibus or Modbus
SV programmer optional, 32 programs with up to 256 segments",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/2acb6af8eb579195a80efe75fcf0c9406cc7835f6ae3083578aa3f2d0bb9df71.jpg,,,,,,,,,,,,,,,,,,,,,,
CelciuXº,Advanced and multi-loop controllers,,"Interfaces to a wide range of industrial networks
Reduced engineering due to Programm-less communications, Smart Active Parts and Function Block Libraries
Available with screw terminals and screw-less clamp terminals
One unit handling various types of input, such as Pt, Thermocouple, mA, and V input",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/c2db908ed26bf665ad7fda4a8a0084760460e9644c1e88fa4ff8523aa7879568.jpg,,,,,,,,,,,,,,,,,,,,,,
S8VK-S,Single-phase,,"Operation possible at ambient temperatures from –40 to 70°C
DC input supported (90 to 350 VDC)
Power boost function at 120% (60 W and 120 W)
Power boost function at 150% (240 W and 480 W)
Undervoltage alarm (240 W and 480 W)
Side-by-side mounting possible (up to 55°C)
Vibration resistance to 5G, and 300-VAC abnormal input voltage supported for 1 second.
PCB coating protects against dust, corrosive gas and humidity.
Certification for 3000m altitude
RoHS compliant",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/f27da926b199c4e5335094b9888b480c3ad252c834876f8bdd4febd460f21666.png,,,,,,,,,,,,,,,,,,,,,,
S8VK-C,Single-phase,,"Operating temperature range of -25º to +60ºC
Double set of DC output terminals (three for the negative) provide easy wiring
Universal input capability, 100 to 240 VAC and 90 to 350 VDC
Conforms to EN61204-3, EN55011 Class A
Improved DIN-rail mounting clip provides a better resistance to vibrations and allows easy installation (using one hand to mount in a flash)",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/5aa642d3ea812938fe6705339aaa171042212922164dd5430e993f8f9716fbe7.jpg,,,,,,,,,,,,,,,,,,,,,,
S8VK-G,Single-phase,,"Wide operating temperature range (-40 to +70ºC) to guarantee operation stability
Double set of DC output terminals (three for the negative) to provide easy wiring
High efficiency (90%) to reduce energy consumption
Power Boost functionality (120%)
Improved DIN-rail mounting clip to provide better vibration resistance and allow for easy installation",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/883b18da6f4795bcd1a11beb9f98ef95b85c769f183cfbbb0bc534880b46de38.jpg,,,,,,,,,,,,,,,,,,,,,,
S8FS-C,Single-phase,,"Wide range in wattage (15, 25, 35, 50, 75, 100, 150, 200, 350 W) and DC-output voltage (5, 12, 15, 24, 36 or 48 VDC)
Wide input ranges: 100 to 120 VAC and 200 to 240 VAC
Overload, over-voltage and short circuit protection
Easy mounting to DIN-rail with mounting brackets (sold separately)
Global standards: Conforms to CE (all models), approved for UL (all models) and CCC (15 to 150 W models)
EMI EN 55011 Class B compliant (15 to 150 W models)",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/af91fb87c76a531dd6d989ec106f776f83361977e53278ad29a4280e74f1a57f.jpg,,,,,,,,,,,,,,,,,,,,,,
S8FS-G,Single-phase,,"Superior basic performance that ensures reliability Ambient temperatures up to 70°C, greater resistance to rusting with aluminum/stainless steel case, and applications at altitudes up to 3,000 m.
Certification for Global Standards North America: UL 508 (Listing), CSA C22.2
Europe: Overvoltage category III (EN 50178)
EMI: Class B (EN 61204-3)
No need for control circuit transformers for which the Machinery Directive is specified. (IEC 61558-2-16)

Greater usability - The terminal cover prevents screws from dropping out and the front cover prevents ingress of foreign matter.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/325abda361172387164fad25cd7a213029a8a5b3e146d4671fc45629c1865d88.jpg,,,,,,,,,,,,,,,,,,,,,,
S8JX-G,Single-phase,,"Wide range in DC-output voltage (5V, 12V, 15V, 24V & 48V) & wattage (15 to 600W)
LED indication power ON
Over-voltage, over-current, and short circuit protection
All models can be DIN-rail mounted
Approvals: UL, cUL, UL508 Listed, VDE
RoHs compliant",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/654404d29e36bf3cf41a4fc2b2ab6329dce01983f95c7f4e06e98f75405da2d3.jpg,,,,,,,,,,,,,,,,,,,,,,
S8JX-P,Single-phase,,"Remote Sensing, to compensate for voltage drops on the load lines.
Remote Control, using an external signal allows you to turn the output ON and OFF without removing the input voltage.
Alarm output, informing you about power supply errors, such as fan failure or insufficient voltage",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/63346fb35f462e6609ce698dcf1fede56828509d66c8856b201f40bef27b3191.jpg,,,,,,,,,,,,,,,,,,,,,,
S8VS-A/B,Single-phase,,"Operating temperature range (-10 to +60ºC)
The 3 digit, 7 segment display
The alarm output(Transistor:PNP, NPN)
The screwless terminal type is available
cULus, EN, RoHS compliant
UL Class 2 output( 60W and 90W)",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/3541d3035837976e825e513e3ddcf1ec53efc71f36f6ea7967b84372974b93fb.jpg,,,,,,,,,,,,,,,,,,,,,,
S8AS,Single-phase,,"Operating temperature range (-10 to +60ºC)
The 3 digit, 7 segment display
Signal outputs for Tripping function and the alrams
Maintenance forcast
Start-up & Shut down sequence
External tripping input
Comunication terminal, RS-485
cULus, EN, RoHS compliant
UL Class 2 output",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/fcca6b4547d74b7c6da4a20129471fa89ca9ee43e7c05fb30c411ed8959efad2.jpg,,,,,,,,,,,,,,,,,,,,,,
S8VK-X,Single-phase,,"Product replacement time, output voltage, output current, and more are acquired on the network and can be managed all at once Product status can be checked on-site using the indication monitor
Operation possible at ambient temperatures from -40 to 70°C
Power Boost function at 150% (240 and 480 W)
Side-by-side mounting possible (up to 55°C)
UL Class 2 conformance (90 W or less)
Complies with EN/IEC 61558-2-16
Coated PCBs for better resistance to environment",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/6c5f4740df1b4c8d57a2f46cbb343fb105a5d18df4b653a3d2d0aa2eb2ffc4b0.jpg,,,,,,,,,,,,,,,,,,,,,,
S8VK-R,Redundancy unit,,"Redundancy operating LED for status confirmation
Signal output for failure detection of power supplies
Operation temperature range: -40 to 70°C
Double your operational lifetime by adjusting the power supply voltage to light-up the Balance LED
Power Boost function is possible when used with S8VK-G series power supplies",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/7c8a37fef0cc09bdebafc82afadfbe77f610fd1b08dd3f4e397fba8eb3ad6508.jpg,,,,,,,,,,,,,,,,,,,,,,
S8T-DCBU-01,DC backup,,"Supplies 24 VDC for a long period of time during AC input outages
For system reliability improvement
Block power supply basic block is connected by the bus line connector
Simple system configuration
Alarms indicated on main unit and via alarm signal output",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/a0d600271d94925828c6e36ffc33b7f6f31f18b301680ddaa934711ce533b927.jpg,,,,,,,,,,,,,,,,,,,,,,
S8T-DCBU-02,DC backup,,"Connects to all Omron power supplies: S8TS, S8VS, S82J, S82K, S8VM, S8PE
Connects to both single-phase and three-phase power supplies
Connects to an S8TS power supply via an S8T-BUS03 bus line connector
Parallel connection up to 4 units to increase back-up time and capacity
Complies with Semi F47-0200 standard",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/96f00cf759f24031492e498f3366fc8bd39d341a70cd0023e3bed71704f9fb73.jpg,,,,,,,,,,,,,,,,,,,,,,
S8VK-T,Three-phase,,"Wide operating temperature range (-40 to +70ºC) to guarantee operation stability
Double set of DC output terminals (three for the negative) to provide easy wiring
High efficiency (90%) to reduce energy consumption
Power Boost functionality (120%)
High vibration resistance with Metal DIN-rail mounting clip.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/e4ea57948c72ef4d4c583643d3a12aee1cabdbaace0183a3d7323d14266554dc.jpg,,,,,,,,,,,,,,,,,,,,,,
S8VK-WB,Three-phase,,"Compactness, side-by-side mounting
Power boost up to 150% 
Operating temperature range: -40 …+70 °C
LEDs and digital outputs for easy diagnostics
PCB board coating for better resistance to environment
Vibration resistant 5G
Guaranteed altitude up to 3,000 m
Push-in Plus terminals",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/a0db4a2a81b132e3b49e198e6e7bb39750a4a5d5e14850c3d3365ca0763891df.jpg,,,,,,,,,,,,,,,,,,,,,,
S8M,Digital multi circuit protector,,"4 circuit protection up-to 4A per channel
UL Class 2 (max. 3.8A)
Emergency stop by external signal
Optimize use of available power through Start-up sequence
Maintenance Control",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/e9b4f37480678c3335ed1ae7545d5a384b14a000ced766b8637010c9bdd2091d.jpg,,,,,,,,,,,,,,,,,,,,,,
S8TS,Power back-up unit,,"Improves system reliability by building up N+1 redundancy
Standard unit; 60 W at 24 VDC, 30 W at 12 VDC and 25 W at 5 VDC
Battery back-up unit protects against power outage
Buffer unit protects against power glitches and outage 
EMI Class B, UL Class 2, UL Class 1 division 2",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/2c4da77c0548acbd9246f3f8492279c0a16d4aeb1653a8e926b7801f6b865641.jpg,,,,,,,,,,,,,,,,,,,,,,
S8V-NF,Noise filter,,"150 kHz to 1 MHz high attenuation
Operation possible at ambient temperatures from -40 to 85°C
Complies with RoHS directives
Certification for 3,000 m altitude (UL/EN 60939)",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/6bbf5031f223c2b5426e2c2c0a16330ccc9d08c58c8b9135fea6000a6c003442.jpg,,,,,,,,,,,,,,,,,,,,,,
S8BA Integrated battery type,Uninterruptible Power Supplies (UPS),,"Compactness, weight reduction, and long battery life realized thanks to the adoption of a lithium-ion battery.
Push-in terminal block adopted for the power input and output I/F.
Shutdown in conjunction with the industrial purpose computer (IPC) or controller realized by the USB/RS- 232C/I/O port installed in the UPS.
Two types of batteries are selectable for the 480W, allowing the ideal backup time to be realized.
A wide lineup culminating in the 960W makes it possible to provide long-lasting backup for every type of industrial controller.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/c11dbfd18131512facac6b41af570ada6ce496708acd6bc9b3ab7d3fa56fb91b.jpg,,,,,,,,,,,,,,,,,,,,,,
S8BA Separated battery type,Uninterruptible Power Supplies (UPS),,"Compactness, weight reduction, and long battery life realized thanks to the adoption of a lithium-ion battery.
Push-in terminal block adopted for the power input and output I/F.
Shutdown in conjunction with the industrial purpose computer (IPC) or controller realized by the USB/RS- 232C/I/O port installed in the UPS.
Two types of batteries are selectable for the 480W, allowing the ideal backup time to be realized.
A wide lineup culminating in the 960W makes it possible to provide long-lasting backup for every type of industrial controller.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/933eaa8d2ad8c0974aaaa78705cf9259f5529cba5b3482d2765eece8c49eb8fd.jpg,,,,,,,,,,,,,,,,,,,,,,
H3DT,Analog solid state timers,,"Helps save space and reduces work in control panels
Slim timers (17.5-mm width) with two sets of contacts: One of the slimmest timers worldwide
Reduces power consumption (active power) by up to 60% to help reduce heat generation in control panels
Certified for maritime standards (LR/DNV GL)
RoHS compliant",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/5d91551f9cf197eea443403f12653a69b3ce6e7c623eba5aabbccfbeb3378c82.jpg,,,,,,,,,,,,,,,,,,,,,,
H3DS,Analog solid state timers,,"17.5mm width, modular 45mm
DIN-rail mounting
24-48VDC and 24-230VAC
0.1 s to 120 h, 7 ranges",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/2f0cd720513eefd5d9fb69f0e083e73e95e81ded9c4449916bc2f71bcd490081.jpg,,,,,,,,,,,,,,,,,,,,,,
H3DK,Analog solid state timers,,"Finger-safe terminal block and captive screws according to EN 50274
New 12VDC model available in all the subfamilies
New Star-delta model with supply voltage up to 440Vac
24&48v integrated in the same model for the OFF-delay Timer
Wider time range (Time setting 0.1s to 1.200h)
 Complete compatibility with H3DE series",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/6e0fed60910e4313694668ab2ea9bfedf2bf8b24da39340b12e1056b80a030a1.jpg,,,,,,,,,,,,,,,,,,,,,,
H3YN / H3YN-B,Analog solid state timers,,"The Plug-in socket with Push-in plus technology, PYF-__-PU is available for easy wiring.
Easy replacement and reduces your maintenance time.
Space saving by Slim design 21.5 mm width.
Large transparent time setting knob facilitates time setting.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/6dbc4aa1727a43fc971926699c1becc81adb36ab387a6abedad0d92466568b94.jpg,,,,,,,,,,,,,,,,,,,,,,
H3RN / H3RN-B,Analog solid state timers,,"The Plug-in socket with Push-in plus technology, P2RF-__-PU is available for easy wiring.
Easy replacement and reduces your maintenance time
Space saving by Slim design 15.5 mm width.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/84ace50f801f662de2a07c255b795d0c429f89243347184c4ad49513c5e6b0ed.jpg,,,,,,,,,,,,,,,,,,,,,,
H3CR,Analog solid state timers,,"48 x 48mm front-panel/plug-in
High-/low-voltage models (except -H and -G)
0.05 s to 300 h (except -H and -G)
DPDT, 5A at 250VAC
Transistor 100mA at 30VDC",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/c0ba25820417dc8f62ba17ee90f9827086e52c39cafc96ea6ff5f6411f119019.jpg,,,,,,,,,,,,,,,,,,,,,,
